country,code country,Year,Maize yield
Guyana,GUY,1976,9.292
Haiti,HTI,1976,9.474
High-income countries,0,1976,51.117.296
Honduras,HND,1976,1.0206
Hong Kong,HKG,1976,0
Hungary,HUN,1976,38.061.998
Iceland,ISL,1976,0
India,IND,1976,1.0601
Indonesia,IDN,1976,1.2277
Iran,IRN,1976,2.1429
Iraq,IRQ,1976,20.098.999
Ireland,IRL,1976,0
Israel,ISR,1976,5.6693
Italy,ITA,1976,5.9862
Jamaica,JAM,1976,1.8215
Japan,JPN,1976,2.619
Jordan,JOR,1976,1.1373
Kenya,KEN,1976,16.351.999
Kuwait,KWT,1976,3
Land Locked Developing Countries (FAO),0,1976,14.162.999
Laos,LAO,1976,1.0442
Least Developed Countries (FAO),0,1976,11.682.999
Lebanon,LBN,1976,1
Lesotho,LSO,1976,57.919.997
Liberia,LBR,1976,0
Libya,LBY,1976,1.1042
Low Income Food Deficit Countries (FAO),0,1976,13.823.999
Low-income countries,0,1976,13.441.821
Lower-middle-income countries,0,1976,1.232.844
Madagascar,MDG,1976,1.188
Malawi,MWI,1976,10.979.999
Malaysia,MYS,1976,1.5784
Maldives,MDV,1976,1
Mali,MLI,1976,857
Malta,MLT,1976,0
Mauritania,MRT,1976,5.294
Mauritius,MUS,1976,2.5024
Melanesia,OWID_MNS,1976,1.382
Mexico,MEX,1976,1.1819
Middle Africa (FAO),0,1976,76.669.997
Mongolia,MNG,1976,0
Morocco,MAR,1976,1.1406
Mozambique,MOZ,1976,0.75
Myanmar,MMR,1976,77.059.996
Namibia,NAM,1976,12.272.999
Nepal,NPL,1976,17.903.999
Net Food Importing Developing Countries (FAO),0,1976,1.3586
Netherlands,NLD,1976,55.555.997
New Caledonia,NCL,1976,23.999.999
New Zealand,NZL,1976,7.0873
Nicaragua,NIC,1976,8.871
Niger,NER,1976,7.532
Nigeria,NGA,1976,1.1973
North America,0,1976,45.307.508
North Korea,PRK,1976,32.352.998
Northern Africa (FAO),0,1976,2.7309
Northern America (FAO),0,1976,5.5154
Northern Europe (FAO),0,1976,2
Norway,NOR,1976,0
Oceania,0,1976,4.264.433
Oceania (FAO),0,1976,4.2644
Oman,OMN,1976,0
Pakistan,PAK,1976,1.2242
Panama,PAN,1976,7.693
Papua New Guinea,PNG,1976,13.916.999
Paraguay,PRY,1976,13.658.999
Peru,PER,1976,1.8827
Philippines,PHL,1976,85.569.996
Poland,POL,1976,44.045.997
Polynesia,OWID_PYA,1976,0
Portugal,PRT,1976,1.1656
Puerto Rico,PRI,1976,94.579.995
Qatar,QAT,1976,0
Reunion,REU,1976,5.3935
Romania,ROU,1976,3.4294
Rwanda,RWA,1976,1.0798
Saint Kitts and Nevis,KNA,1976,0
Saint Lucia,LCA,1976,0.7
Saint Vincent and the Grenadines,VCT,1976,3.2143
Sao Tome and Principe,STP,1976,1.5152
Saudi Arabia,SAU,1976,7.556
Senegal,SEN,1976,1.0864
Sierra Leone,SLE,1976,1.0385
Small Island Developing States (FAO),0,1976,1.1393
Solomon Islands,SLB,1976,0
Somalia,SOM,1976,90.419.996
South Africa,ZAF,1976,1.5069
South America,0,1976,16.614.714
South America (FAO),0,1976,1.6615
South Korea,KOR,1976,2.3167
South-eastern Asia (FAO),0,1976,1.2329
Southern Africa (FAO),0,1976,1.4789
Southern Asia (FAO),0,1976,1.1588
Southern Europe (FAO),0,1976,4.015
Spain,ESP,1976,3.5786
Sri Lanka,LKA,1976,70.269.996
Sudan (former),0,1976,434
Suriname,SUR,1976,1.4043
Sweden,SWE,1976,0
Switzerland,CHE,1976,6.1692
Syria,SYR,1976,9.209
Taiwan,TWN,1976,2.758
Tanzania,TZA,1976,1.1146
Thailand,THA,1976,2.3862
Togo,TGO,1976,82.909.995
Trinidad and Tobago,TTO,1976,4.2105
Tunisia,TUN,1976,0
Turkey,TUR,1976,21.924.999
USSR,OWID_USS,1976,3.0693
Uganda,UGA,1976,1.2802
United Arab Emirates,ARE,1976,0
United Kingdom,GBR,1976,2
United States,USA,1976,55.231.037
Upper-middle-income countries,0,1976,20.744.092
Uruguay,URY,1976,1.2206
Vanuatu,VUT,1976,0.5
Venezuela,VEN,1976,1.2185
Vietnam,VNM,1976,1.1491
Western Africa (FAO),0,1976,91.249.996
Western Asia (FAO),0,1976,20.572.999
Western Europe (FAO),0,1976,4.2723
World,OWID_WRL,1976,2.8371
Yemen,YEM,1976,1.661
Yugoslavia,OWID_YGS,1976,3.836
Zambia,ZMB,1976,1.4927
Zimbabwe,ZWE,1976,1.8065
Afghanistan,AFG,1977,1.5833
Africa,0,1977,15.121.006
Africa (FAO),0,1977,1.5093
Albania,ALB,1977,3.7647
Algeria,DZA,1977,1.2226
Americas (FAO),0,1977,3.8035
Angola,AGO,1977,5.833
Antigua and Barbuda,ATG,1977,1.6667
Argentina,ARG,1977,32.779.999
Asia,0,1977,19.570.733
Asia (FAO),0,1977,19.570.999
Australia,AUS,1977,2.7192
Austria,AUT,1977,6.98
Bahamas,BHS,1977,1.0306
Bahrain,BHR,1977,0
Bangladesh,BGD,1977,8.405
Barbados,BRB,1977,2.6144
Belgium-Luxembourg (FAO),0,1977,51.398.997
Belize,BLZ,1977,13.464.999
Benin,BEN,1977,73.109.996
Bhutan,BTN,1977,14.011.999
Bolivia,BOL,1977,1.2616
Botswana,BWA,1977,5.446
Brazil,BRA,1977,1.6322
Brunei,BRN,1977,0
Bulgaria,BGR,1977,3.5802
Burkina Faso,BFA,1977,81.939.995
Burundi,BDI,1977,11.474.999
Cambodia,KHM,1977,1.2903
Cameroon,CMR,1977,89.779.997
Canada,CAN,1977,57.728.996
Cape Verde,CPV,1977,375
Caribbean (FAO),0,1977,1.051
Central African Republic,CAF,1977,32.999.998
Central America (FAO),0,1977,1.3248
Chad,TCD,1977,0.95
Chile,CHL,1977,3.0748
China,CHN,1977,25.154.998
Colombia,COL,1977,1.2968
Comoros,COM,1977,1.0698
Congo,COG,1977,61.109.996
Costa Rica,CRI,1977,1.8022
Cote d'Ivoire,CIV,1977,47.959.998
Cuba,CUB,1977,1.25
Cyprus,CYP,1977,0
Czechoslovakia,OWID_CZS,1977,4.7012
Democratic Republic of Congo,COD,1977,7.227
Denmark,DNK,1977,0
Dominica,DMA,1977,1.3333
Dominican Republic,DOM,1977,1.8711
East Timor,TLS,1977,1.1429
Eastern Africa (FAO),0,1977,1.423
Eastern Asia (FAO),0,1977,25.437.999
Eastern Europe (FAO),0,1977,34.443.998
Ecuador,ECU,1977,88.439.995
Egypt,EGY,1977,36.748.998
El Salvador,SLV,1977,1.5509
Eswatini,SWZ,1977,1.2757
Ethiopia (former),OWID_ERE,1977,1.4092
Europe,0,1977,39.998.226
Europe (FAO),0,1977,4.2003
European Union (27),0,1977,418.753
European Union (27) (FAO),0,1977,4.1881
Faroe Islands,FRO,1977,0
Fiji,FJI,1977,37.064.998
Finland,FIN,1977,0
France,FRA,1977,52.381.997
French Guiana,GUF,1977,2
French Polynesia,PYF,1977,0
Gabon,GAB,1977,15.087.999
Gambia,GMB,1977,1.129
Germany,DEU,1977,5.8107
Ghana,GHA,1977,1.0703
Greece,GRC,1977,4.0358
Grenada,GRD,1977,90.629.995
Guadeloupe,GLP,1977,2
Guatemala,GTM,1977,1.3126
Guinea,GIN,1977,1.0769
Guinea-Bissau,GNB,1977,6.667
Guyana,GUY,1977,10.886.999
Haiti,HTI,1977,7.999
High-income countries,0,1977,5.338.141
Honduras,HND,1977,9.352
Hong Kong,HKG,1977,0
Hungary,HUN,1977,4.6439
Iceland,ISL,1977,0
India,IND,1977,1.0511
Indonesia,IDN,1977,1.2245
Iran,IRN,1977,1.375
Iraq,IRQ,1977,26.023.998
Ireland,IRL,1977,0
Israel,ISR,1977,57.079.997
Italy,ITA,1977,6.5087
Jamaica,JAM,1977,21.527.998
Japan,JPN,1977,2.6311
Jordan,JOR,1977,1.3835
Kenya,KEN,1977,1.6261
Kuwait,KWT,1977,3
Land Locked Developing Countries (FAO),0,1977,1.477
Laos,LAO,1977,1.4196
Least Developed Countries (FAO),0,1977,1.1728
Lebanon,LBN,1977,1.25
Lesotho,LSO,1977,1.5676
Liberia,LBR,1977,0
Libya,LBY,1977,10.806.999
Low Income Food Deficit Countries (FAO),0,1977,1.3865
Low-income countries,0,1977,13.871.942
Lower-middle-income countries,0,1977,12.089.287
Madagascar,MDG,1977,1.0569
Malawi,MWI,1977,1.321
Malaysia,MYS,1977,16.940.999
Maldives,MDV,1977,1
Mali,MLI,1977,8.725
Malta,MLT,1977,0
Mauritania,MRT,1977,0.5
Mauritius,MUS,1977,24.961.998
Melanesia,OWID_MNS,1977,97.499.996
Mexico,MEX,1977,13.571.999
Middle Africa (FAO),0,1977,7.096
Mongolia,MNG,1977,0
Morocco,MAR,1977,4.341
Mozambique,MOZ,1977,71.669.996
Myanmar,MMR,1977,95.159.996
Namibia,NAM,1977,1.2083
Nepal,NPL,1977,16.640.999
Net Food Importing Developing Countries (FAO),0,1977,1.3311
Netherlands,NLD,1977,7.3746
New Caledonia,NCL,1977,2.931
New Zealand,NZL,1977,7.3661
Nicaragua,NIC,1977,8.544
Niger,NER,1977,7.273
Nigeria,NGA,1977,10.655.999
North America,0,1977,4.639.599
North Korea,PRK,1977,33.332.999
Northern Africa (FAO),0,1977,2.4011
Northern America (FAO),0,1977,5.7033
Northern Europe (FAO),0,1977,32.714.999
Norway,NOR,1977,0
Oceania,0,1977,42.654.777
Oceania (FAO),0,1977,4.2655
Oman,OMN,1977,0
Pakistan,PAK,1977,1.2512
Panama,PAN,1977,96.279.997
Papua New Guinea,PNG,1977,1.0372
Paraguay,PRY,1977,13.917.999
Peru,PER,1977,1.8772
Philippines,PHL,1977,8.854
Poland,POL,1977,4.0516
Polynesia,OWID_PYA,1977,0
Portugal,PRT,1977,1.2938
Puerto Rico,PRI,1977,94.579.995
Qatar,QAT,1977,0
Reunion,REU,1977,6.2924
Romania,ROU,1977,3.0484
Rwanda,RWA,1977,1.1018
Saint Kitts and Nevis,KNA,1977,0
Saint Lucia,LCA,1977,0.7
Saint Vincent and the Grenadines,VCT,1977,3.2143
Sao Tome and Principe,STP,1977,1.5152
Saudi Arabia,SAU,1977,6.434
Senegal,SEN,1977,1.0515
Sierra Leone,SLE,1977,1.0769
Small Island Developing States (FAO),0,1977,1.0512
Solomon Islands,SLB,1977,0
Somalia,SOM,1977,73.899.996
South Africa,ZAF,1977,20.809.999
South America,0,1977,1.855.049
South America (FAO),0,1977,18.549.999
South Korea,KOR,1977,2.7398
South-eastern Asia (FAO),0,1977,1.1302
Southern Africa (FAO),0,1977,2.0393
Southern Asia (FAO),0,1977,1.1431
Southern Europe (FAO),0,1977,4.5129
Spain,ESP,1977,4.4818
Sri Lanka,LKA,1977,65.389.997
Sudan (former),0,1977,6.917
Suriname,SUR,1977,2.0909
Sweden,SWE,1977,0
Switzerland,CHE,1977,6.4795
Syria,SYR,1977,1.0603
Taiwan,TWN,1977,2.6351
Tanzania,TZA,1977,1.28
Thailand,THA,1977,1.7177
Togo,TGO,1977,9.942
Trinidad and Tobago,TTO,1977,4.086
Tunisia,TUN,1977,0
Turkey,TUR,1977,2.181
USSR,OWID_USS,1977,3.2719
Uganda,UGA,1977,1.3184
United Arab Emirates,ARE,1977,0
United Kingdom,GBR,1977,32.714.999
United States,USA,1977,5.698.839
Upper-middle-income countries,0,1977,21.963.549
Uruguay,URY,1977,87.659.997
Vanuatu,VUT,1977,0.5
Venezuela,VEN,1977,1.5609
Vietnam,VNM,1977,1.002
Western Africa (FAO),0,1977,8.462
Western Asia (FAO),0,1977,2.0804
Western Europe (FAO),0,1977,5.4308
World,OWID_WRL,1977,2.9668
Yemen,YEM,1977,1.6111
Yugoslavia,OWID_YGS,1977,4.2525
Zambia,ZMB,1977,1.6925
Zimbabwe,ZWE,1977,18.664.999
Afghanistan,AFG,1978,1.6183
Africa,0,1978,15.412.565
Africa (FAO),0,1978,15.376.999
Albania,ALB,1978,39.534.998
Algeria,DZA,1978,1.0813
Americas (FAO),0,1978,4.1377
Angola,AGO,1978,6.667
Antigua and Barbuda,ATG,1978,1.75
Argentina,ARG,1978,3.6466
Asia,0,1978,21.369.622
Asia (FAO),0,1978,21.369.998
Australia,AUS,1978,2.8683
Austria,AUT,1978,6.56
Bahamas,BHS,1978,1.1587
Bahrain,BHR,1978,0
Bangladesh,BGD,1978,7.991
Barbados,BRB,1978,2.6144
Belgium,BEL,1978,0
Belgium-Luxembourg (FAO),0,1978,62.598.996
Belize,BLZ,1978,1.7213
Benin,BEN,1978,7.779
Bhutan,BTN,1978,14.003.999
Bolivia,BOL,1978,1.3014
Botswana,BWA,1978,3.111
Brazil,BRA,1978,1.2197
Brunei,BRN,1978,0
Bulgaria,BGR,1978,3.7215
Burkina Faso,BFA,1978,9.313
Burundi,BDI,1978,1.3333
Cambodia,KHM,1978,12.307.999
Cameroon,CMR,1978,747
Canada,CAN,1978,52.585.998
Cape Verde,CPV,1978,3.333
Caribbean (FAO),0,1978,8.892
Central African Republic,CAF,1978,5.029
Central America (FAO),0,1978,14.887.999
Chad,TCD,1978,0.75
Chile,CHL,1978,2.7363
China,CHN,1978,2.803
Colombia,COL,1978,1.2851
Comoros,COM,1978,1
Congo,COG,1978,38.459.998
Costa Rica,CRI,1978,16.898.999
Cote d'Ivoire,CIV,1978,46.809.998
Cuba,CUB,1978,1.25
Cyprus,CYP,1978,0
Czechoslovakia,OWID_CZS,1978,4.2998
Democratic Republic of Congo,COD,1978,7.084
Denmark,DNK,1978,0
Dominica,DMA,1978,1.3333
Dominican Republic,DOM,1978,13.887.999
East Timor,TLS,1978,10.555.999
Eastern Africa (FAO),0,1978,1.2965
Eastern Asia (FAO),0,1978,2.8263
Eastern Europe (FAO),0,1978,3.6339
Ecuador,ECU,1978,9.522
Egypt,EGY,1978,3.9099
El Salvador,SLV,1978,1.9179
Eswatini,SWZ,1978,1.7871
Ethiopia (former),OWID_ERE,1978,1.0938
Europe,0,1978,40.603.137
Europe (FAO),0,1978,4.0613
European Union (27),0,1978,43.125.153
European Union (27) (FAO),0,1978,4.3138
Faroe Islands,FRO,1978,0
Fiji,FJI,1978,2.6667
Finland,FIN,1978,0
France,FRA,1978,5.2862
French Guiana,GUF,1978,2
French Polynesia,PYF,1978,0
Gabon,GAB,1978,1.4984
Gambia,GMB,1978,1.3971
Germany,DEU,1978,5.2868
Ghana,GHA,1978,1.0634
Greece,GRC,1978,46.654.997
Grenada,GRD,1978,90.819.997
Guatemala,GTM,1978,1.5329
Guinea,GIN,1978,1
Guinea-Bissau,GNB,1978,59.999.996
Guyana,GUY,1978,1.3341
Haiti,HTI,1978,0.65
High-income countries,0,1978,58.349.614
Honduras,HND,1978,9.589
Hong Kong,HKG,1978,0
Hungary,HUN,1978,5.1335
Iceland,ISL,1978,0
India,IND,1978,1.0762
Indonesia,IDN,1978,13.320.999
Iran,IRN,1978,13.952.999
Iraq,IRQ,1978,22.856.998
Ireland,IRL,1978,0
Israel,ISR,1978,5.124
Italy,ITA,1978,6.6401
Jamaica,JAM,1978,1.6235
Japan,JPN,1978,2.9167
Jordan,JOR,1978,1.3804
Kenya,KEN,1978,14.556.999
Kuwait,KWT,1978,3
Land Locked Developing Countries (FAO),0,1978,1.4509
Laos,LAO,1978,1.0471
Least Developed Countries (FAO),0,1978,1.1187
Lebanon,LBN,1978,1
Lesotho,LSO,1978,1.408
Liberia,LBR,1978,0
Libya,LBY,1978,1.0932
Low Income Food Deficit Countries (FAO),0,1978,1.3069
Low-income countries,0,1978,1.413.722
Lower-middle-income countries,0,1978,122.055
Madagascar,MDG,1978,94.339.997
Malawi,MWI,1978,12.373.999
Malaysia,MYS,1978,1.1019
Maldives,MDV,1978,1
Mali,MLI,1978,2.4091
Malta,MLT,1978,0
Mauritania,MRT,1978,5.455
Mauritius,MUS,1978,22.879.999
Melanesia,OWID_MNS,1978,1.1189
Mexico,MEX,1978,1.5199
Middle Africa (FAO),0,1978,6.968
Mongolia,MNG,1978,0
Morocco,MAR,1978,9.898
Mozambique,MOZ,1978,0.7
Myanmar,MMR,1978,9.248
Namibia,NAM,1978,1.25
Nepal,NPL,1978,16.351.999
Net Food Importing Developing Countries (FAO),0,1978,1.3065
Netherlands,NLD,1978,7.1429
New Caledonia,NCL,1978,26.499.999
New Zealand,NZL,1978,7.0488
Nicaragua,NIC,1978,1.1171
Niger,NER,1978,79.819.995
Nigeria,NGA,1978,1.2678
North America,0,1978,516.824
North Korea,PRK,1978,34.782.999
Northern Africa (FAO),0,1978,28.095.999
Northern America (FAO),0,1978,63.111.997
Northern Europe (FAO),0,1978,3.0628
Norway,NOR,1978,0
Oceania,0,1978,42.123.446
Oceania (FAO),0,1978,4.2123
Oman,OMN,1978,0
Pakistan,PAK,1978,1.2282
Panama,PAN,1978,94.009.995
Papua New Guinea,PNG,1978,96.739.995
Paraguay,PRY,1978,1.3023
Peru,PER,1978,1.6814
Philippines,PHL,1978,9.425
Poland,POL,1978,36.262.999
Polynesia,OWID_PYA,1978,0
Portugal,PRT,1978,12.847.999
Puerto Rico,PRI,1978,93.479.997
Qatar,QAT,1978,0
Reunion,REU,1978,5.3935
Romania,ROU,1978,3.0424
Russia,RUS,1978,0
Rwanda,RWA,1978,11.209.999
Saint Kitts and Nevis,KNA,1978,0
Saint Lucia,LCA,1978,0.7
Saint Vincent and the Grenadines,VCT,1978,3.3571
Sao Tome and Principe,STP,1978,1.5152
Saudi Arabia,SAU,1978,16.243.999
Senegal,SEN,1978,95.989.996
Sierra Leone,SLE,1978,1.0769
Small Island Developing States (FAO),0,1978,91.999.996
Solomon Islands,SLB,1978,0
Somalia,SOM,1978,72.429.997
South Africa,ZAF,1978,2.313
South America,0,1978,16.431.515
South America (FAO),0,1978,16.431.999
South Korea,KOR,1978,32.461.998
South-eastern Asia (FAO),0,1978,12.860.999
Southern Africa (FAO),0,1978,2.2621
Southern Asia (FAO),0,1978,1.1614
Southern Europe (FAO),0,1978,4.1776
Spain,ESP,1978,4.4419
Sri Lanka,LKA,1978,0.74
Sudan (former),0,1978,6.505
Suriname,SUR,1978,19.499.999
Sweden,SWE,1978,0
Switzerland,CHE,1978,6.7524
Syria,SYR,1978,1.0158
Taiwan,TWN,1978,2.8987
Tanzania,TZA,1978,1.1269
Thailand,THA,1978,21.239.998
Togo,TGO,1978,1.1714
Trinidad and Tobago,TTO,1978,4.0698
Tunisia,TUN,1978,0
Turkey,TUR,1978,2.2414
USSR,OWID_USS,1978,3.5503
Uganda,UGA,1978,13.199.999
United Arab Emirates,ARE,1978,0
United Kingdom,GBR,1978,3.0628
United States,USA,1978,6.339.017
Upper-middle-income countries,0,1978,22.553.422
Uruguay,URY,1978,1.0519
Vanuatu,VUT,1978,0.5
Venezuela,VEN,1978,1.4287
Vietnam,VNM,1978,11.044.999
Western Africa (FAO),0,1978,9.158
Western Asia (FAO),0,1978,21.169.999
Western Europe (FAO),0,1978,54.070.997
World,OWID_WRL,1978,31.555.998
Yemen,YEM,1978,15.404.999
Yugoslavia,OWID_YGS,1978,35.609.999
Zambia,ZMB,1978,17.048.999
Zimbabwe,ZWE,1978,1.6732
Afghanistan,AFG,1979,16.101.999
Africa,0,1979,14.014.559
Africa (FAO),0,1979,1.3985
Albania,ALB,1979,3.75
Algeria,DZA,1979,1.1169
Americas (FAO),0,1979,45.513.997
Angola,AGO,1979,0.5
Antigua and Barbuda,ATG,1979,1.92
Argentina,ARG,1979,3.1071
Asia,0,1979,2.238.185
Asia (FAO),0,1979,2.2382
Australia,AUS,1979,3.376
Austria,AUT,1979,71.699.996
Bahamas,BHS,1979,1.1429
Bahrain,BHR,1979,0
Bangladesh,BGD,1979,7.265
Barbados,BRB,1979,2.6144
Belgium-Luxembourg (FAO),0,1979,61.299.996
Belize,BLZ,1979,1.5244
Benin,BEN,1979,724
Bhutan,BTN,1979,13.995.999
Bolivia,BOL,1979,13.601.999
Botswana,BWA,1979,106.599.994
Brazil,BRA,1979,14.405.999
Brunei,BRN,1979,0
Bulgaria,BGR,1979,4.8403
Burkina Faso,BFA,1979,90.669.996
Burundi,BDI,1979,1.1283
Cambodia,KHM,1979,93.329.996
Cameroon,CMR,1979,7.482
Canada,CAN,1979,5.5386
Cape Verde,CPV,1979,42.859.998
Caribbean (FAO),0,1979,9.432
Central African Republic,CAF,1979,3.277
Central America (FAO),0,1979,15.080.999
Chad,TCD,1979,79.999.995
Chile,CHL,1979,37.517.998
China,CHN,1979,2.9852
Colombia,COL,1979,1.4136
Comoros,COM,1979,1
Congo,COG,1979,6.538
Costa Rica,CRI,1979,1.6542
Cote d'Ivoire,CIV,1979,4.709
Cuba,CUB,1979,1.25
Cyprus,CYP,1979,0
Czechoslovakia,OWID_CZS,1979,5.1983
Democratic Republic of Congo,COD,1979,79.999.995
Denmark,DNK,1979,0
Dominica,DMA,1979,1.4194
Dominican Republic,DOM,1979,1.1757
East Timor,TLS,1979,1.0465
Eastern Africa (FAO),0,1979,1.2937
Eastern Asia (FAO),0,1979,3.1986
Eastern Europe (FAO),0,1979,3.8688
Ecuador,ECU,1979,99.579.996
Egypt,EGY,1979,3.7119
El Salvador,SLV,1979,1.8959
Eswatini,SWZ,1979,9.177
Ethiopia (former),OWID_ERE,1979,1.5079
Europe,0,1979,43.566.837
Europe (FAO),0,1979,4.3574
European Union (27),0,1979,4.651.405
European Union (27) (FAO),0,1979,4.6523
Faroe Islands,FRO,1979,0
Fiji,FJI,1979,2.5
Finland,FIN,1979,0
France,FRA,1979,5.2195
French Guiana,GUF,1979,2
French Polynesia,PYF,1979,0
Gabon,GAB,1979,15.030.999
Gambia,GMB,1979,12.221.999
Germany,DEU,1979,64.056.997
Ghana,GHA,1979,1.0615
Greece,GRC,1979,5.7889
Grenada,GRD,1979,9.076
Guatemala,GTM,1979,1.7447
Guinea,GIN,1979,1
Guinea-Bissau,GNB,1979,6.667
Guyana,GUY,1979,1.4796
Haiti,HTI,1979,78.429.997
High-income countries,0,1979,629.145
Honduras,HND,1979,1.0371
Hong Kong,HKG,1979,0
Hungary,HUN,1979,5.4115
Iceland,ISL,1979,0
India,IND,1979,9.794
Indonesia,IDN,1979,1.3902
Iran,IRN,1979,1.3571
Iraq,IRQ,1979,2.4963
Ireland,IRL,1979,0
Israel,ISR,1979,40.376.997
Italy,ITA,1979,6.6173
Jamaica,JAM,1979,1.4913
Japan,JPN,1979,2.5907
Jordan,JOR,1979,4.0407
Kenya,KEN,1979,1.3
Kuwait,KWT,1979,5
Land Locked Developing Countries (FAO),0,1979,1.3514
Laos,LAO,1979,1.1234
Least Developed Countries (FAO),0,1979,11.324.999
Lebanon,LBN,1979,1
Lesotho,LSO,1979,1.1122
Liberia,LBR,1979,0
Libya,LBY,1979,1.0752
Low Income Food Deficit Countries (FAO),0,1979,1.3061
Low-income countries,0,1979,14.216.387
Lower-middle-income countries,0,1979,11.478.899
Madagascar,MDG,1979,10.038.999
Malawi,MWI,1979,1.1998
Malaysia,MYS,1979,1.1429
Maldives,MDV,1979,1
Mali,MLI,1979,16.683.999
Malta,MLT,1979,0
Mauritania,MRT,1979,5.556
Mauritius,MUS,1979,2.5021
Melanesia,OWID_MNS,1979,1.4375
Mexico,MEX,1979,15.153.999
Middle Africa (FAO),0,1979,6.741
Mongolia,MNG,1979,0
Morocco,MAR,1979,0.75
Mozambique,MOZ,1979,6.446
Myanmar,MMR,1979,1.2637
Namibia,NAM,1979,1.3043
Nepal,NPL,1979,13.320.999
Net Food Importing Developing Countries (FAO),0,1979,1.2893
Netherlands,NLD,1979,33.332.999
New Caledonia,NCL,1979,2.046
New Zealand,NZL,1979,8.0315
Nicaragua,NIC,1979,1.0279
Niger,NER,1979,7.794
Nigeria,NGA,1979,11.481.999
North America,0,1979,57.822.566
North Korea,PRK,1979,3.6232
Northern Africa (FAO),0,1979,2.5804
Northern America (FAO),0,1979,6.8314
Northern Europe (FAO),0,1979,1.79
Norway,NOR,1979,0
Oceania,0,1979,46.942.554
Oceania (FAO),0,1979,46.942.997
Oman,OMN,1979,0
Pakistan,PAK,1979,1.2483
Panama,PAN,1979,923
Papua New Guinea,PNG,1979,2.2092
Paraguay,PRY,1979,1.5044
Peru,PER,1979,16.748.999
Philippines,PHL,1979,9.755
Poland,POL,1979,38.997.998
Polynesia,OWID_PYA,1979,0
Portugal,PRT,1979,1.2838
Puerto Rico,PRI,1979,93.179.995
Qatar,QAT,1979,0
Reunion,REU,1979,5.4
Romania,ROU,1979,3.5539
Rwanda,RWA,1979,1.0719
Saint Kitts and Nevis,KNA,1979,0
Saint Lucia,LCA,1979,0.7
Saint Vincent and the Grenadines,VCT,1979,33.332.999
Sao Tome and Principe,STP,1979,1.5
Saudi Arabia,SAU,1979,7.615
Senegal,SEN,1979,6.839
Sierra Leone,SLE,1979,9.231
Small Island Developing States (FAO),0,1979,0.95
Solomon Islands,SLB,1979,0
Somalia,SOM,1979,73.359.996
South Africa,ZAF,1979,1.8561
South America,0,1979,17.378.223
South America (FAO),0,1979,1.7378
South Korea,KOR,1979,4.5866
South-eastern Asia (FAO),0,1979,13.054.999
Southern Africa (FAO),0,1979,1.8144
Southern Asia (FAO),0,1979,10.705.999
Southern Europe (FAO),0,1979,4.7029
Spain,ESP,1979,4.739
Sri Lanka,LKA,1979,1.0677
Sudan (former),0,1979,6.324
Suriname,SUR,1979,1.6709
Sweden,SWE,1979,0
Switzerland,CHE,1979,7.5421
Syria,SYR,1979,6.098
Taiwan,TWN,1979,29.120.998
Tanzania,TZA,1979,1.3231
Thailand,THA,1979,2.0103
Togo,TGO,1979,1.1637
Trinidad and Tobago,TTO,1979,28.114.998
Tunisia,TUN,1979,0
Turkey,TUR,1979,2.3077
USSR,OWID_USS,1979,31.441.998
Uganda,UGA,1979,16.653.999
United Arab Emirates,ARE,1979,0
United Kingdom,GBR,1979,1.79
United States,USA,1979,68.724.985
Upper-middle-income countries,0,1979,23.766.265
Uruguay,URY,1979,75.769.997
Vanuatu,VUT,1979,0.5
Venezuela,VEN,1979,14.979.999
Vietnam,VNM,1979,9.917
Western Africa (FAO),0,1979,8.527
Western Asia (FAO),0,1979,21.390.998
Western Europe (FAO),0,1979,5.4564
World,OWID_WRL,1979,33.846.998
Yemen,YEM,1979,1.6398
Yugoslavia,OWID_YGS,1979,44.797.997
Zambia,ZMB,1979,1.688
Zimbabwe,ZWE,1979,14.283.999
Afghanistan,AFG,1980,16.710.999
Africa,0,1980,15.614.493
Africa (FAO),0,1980,1.5579
Albania,ALB,1980,2.6504
Algeria,DZA,1980,96.599.996
Americas (FAO),0,1980,3.9573
Angola,AGO,1980,59.999.996
Antigua and Barbuda,ATG,1980,1.7059
Argentina,ARG,1980,25.702.999
Asia,0,1980,2.323.513
Asia (FAO),0,1980,2.3235
Australia,AUS,1980,2.7912
Austria,AUT,1980,6.7
Bahamas,BHS,1980,1.1413
Bahrain,BHR,1980,0
Bangladesh,BGD,1980,71.459.997
Barbados,BRB,1980,2.5
Belgium-Luxembourg (FAO),0,1980,6.2801
Belize,BLZ,1980,17.890.999
Benin,BEN,1980,74.369.997
Bhutan,BTN,1980,13.988.999
Bolivia,BOL,1980,13.062.999
Botswana,BWA,1980,24.949.999
Brazil,BRA,1980,17.789.999
Brunei,BRN,1980,0
Bulgaria,BGR,1980,3.8586
Burkina Faso,BFA,1980,9.029
Burundi,BDI,1980,1.0769
Cambodia,KHM,1980,1
Cameroon,CMR,1980,8.318
Canada,CAN,1980,56.282.997
Cape Verde,CPV,1980,5.313
Caribbean (FAO),0,1980,1.038
Central African Republic,CAF,1980,3.786
Central America (FAO),0,1980,1.7428
Chad,TCD,1980,8.333
Chile,CHL,1980,3.4873
China,CHN,1980,30.788.999
Colombia,COL,1980,1.3893
Comoros,COM,1980,1
Congo,COG,1980,8.056
